title;artist;album;isrc;addedDate;addedBy;duration;url
Lorena;"Doodoo Wah";"And Then Some";usl4q1724075;"2019-08-19 01:11";randomparity;167s;https://open.spotify.com/track/5bAADEdFisiy88lmd3lWZH
"What Scares You";"Dr. Elmo";"Dr. Elmo Sings The Boo's";US4J70510309;"2019-08-19 01:12";randomparity;82s;https://open.spotify.com/track/0hbUgrWBrYfI6QYe1HTBBh
"Is It Hot In Here, Or Is It Me";"Ellen Bukstel";"Daddy's Little Girl";ushm20873810;"2019-08-19 01:11";randomparity;211s;https://open.spotify.com/track/3NtjTOblesJoghcjobt331
Charliesomething;"Eric Schwartz";"Pleading The First: Songs My Mother Hates";ushm20421724;"2019-08-19 01:12";randomparity;164s;https://open.spotify.com/track/0CmZfEg13GZmtATTI6ocwk
"Save the Beer";"Faust and Lewis";"Classy Trash";USA370305295;"2019-08-19 01:10";randomparity;237s;https://open.spotify.com/track/0Pt6d48AQ771IMOgSzJpsa
"Street Life";"Fleet Guccione, Naeemah, Domanatie";"Jumpman #23: Who Is Del Jordan?";TCAEH1952612;"2019-08-19 01:13";randomparity;231s;https://open.spotify.com/track/1QVyh1b1jady1TNCNoiHzy
"The Guy Who Doesn't Know Things";"Flying Like Wilma";"Learning To Read Made Me Cool!!";ushm20950606;"2019-08-19 01:13";randomparity;179s;https://open.spotify.com/track/0ZkMIaVgp2LKPeYyN5miBX
"A Tale of the Ticker - Remastered 2003";"Frank Crumit";"Poor Man's Heaven - Blues And Tales Of The Great Depression - When The Sun Goes Down Series";USBB10300222;"2019-08-19 01:10";randomparity;161s;https://open.spotify.com/track/1Jrbr2E6W8GKuzqARr32cg
"The Window Cleaner";"George Formby";"The Legendary George Formby";GBAYE0501329;"2019-08-19 01:12";randomparity;173s;https://open.spotify.com/track/2eUhZalbPNce2kisFlNjnw
"The Carbon Cycle";"Hard 'n Phirm";"Horses And Grasses";US85P0762001;"2019-08-19 01:13";randomparity;139s;https://open.spotify.com/track/6n9k46v7Ctg0rGMN3jN0Wq
"Guitar Pill";"Henry Phillips";"Neither Here nor There";USLQZ1602681;"2019-08-19 01:10";randomparity;268s;https://open.spotify.com/track/439KTI9WvE3CaXHsburpp3
"Sweet Little Blossom Of Mine";"Henry Phillips";"On The Shoulders of Freaks";USOEG9789602;"2019-08-19 01:10";randomparity;197s;https://open.spotify.com/track/7ckJJvDhODYFVht7y8dXVn
"Alone Again";"Henry Phillips";"Why Haven't I Heard from You";uscgj0567640;"2019-08-19 01:13";randomparity;231s;https://open.spotify.com/track/5klfXEccxo89vYfyapt1Au
"Turn On the Heat";"Horace Heidt and His Californians";"Sweet Georgia Brown (American Bands of the Twenties)";DEBL61299390;"2019-08-19 01:10";randomparity;176s;https://open.spotify.com/track/1s3A57ABTBCHTsXnUrMBrx
"Bark Along with Cody";"Jeff Elbel + Ping";"The Eleventh Hour Storybook";uscgh0683933;"2019-08-19 01:11";randomparity;154s;https://open.spotify.com/track/5WfXwZvZqMRaWclJmeGMjj
Stress;"Jim Infantino";"Fast Folk Musical Magazine (Vol. 8, No. 6) 1995 Fast Folk Revue-Live at the Bottom Line";USSF19680613;"2019-08-19 01:11";randomparity;241s;https://open.spotify.com/track/4NST6LVKauXOLKnPoJJqNO
"Song - Party In Your Pants";"Judy Tenuta";"The Power of Judyism";ushm80791770;"2019-08-19 01:10";randomparity;180s;https://open.spotify.com/track/2s0N2YGg6aOhzbLhln71tg
"Toxic Swamp";"Kenny Young and the Eggplants";"TOXIC SWAMP & Other Love Songs";ushm80464347;"2019-08-19 01:10";randomparity;181s;https://open.spotify.com/track/2QTn59rmq0I6hLfEXwOIjh
"Eddie's Apartment";"Kenny Young and the Eggplants";"Even One Is Quite a Few";ushm80464374;"2019-08-19 01:10";randomparity;247s;https://open.spotify.com/track/68SLahW4AAbA1K0fRsUfd0
"Ghost in the Trailer";"Larry Weaver";"Looking for Fun";ushm20373231;"2019-08-19 01:12";randomparity;243s;https://open.spotify.com/track/5fm0IPVbc6FTMKweevkAaa
"'Taint No Sin";"Lee Morse";"From The Sony Vault: Silly Scary Songs";USSM11205730;"2019-08-19 01:10";randomparity;212s;https://open.spotify.com/track/2tGQW95codt3fpen8zrkYF
"Reinstalling Windows - Les Barker";"Les Barker";Technobabble;uscgh0696235;"2019-08-19 01:12";randomparity;129s;https://open.spotify.com/track/5HEAahsdVyYvWhZlSwHntY
"The Cowgirl Song";"Leslie Eliel";Shakedown;ushm91243178;"2019-08-19 01:10";randomparity;161s;https://open.spotify.com/track/3HWf39SH4jUOSWJ01eqC9t
"Robot Cat - Logan Whitehurst and the Junior Science Club";"Logan Whitehurst & The Junior Science Club";Technobabble;uscgh0696234;"2019-08-19 01:12";randomparity;197s;https://open.spotify.com/track/4rImUd3cOToKMJ4Z1gtXrg
"Digging Machine - Logan Whitehurst and the Junior Science Club";"Logan Whitehurst & The Junior Science Club";Technobabble;uscgh0696238;"2019-08-19 01:13";randomparity;111s;https://open.spotify.com/track/2nuwSVDPMPHaA4kNbl7hfC
"Email Legends";"Marilyn Rucker";"Teapot Lady";ushm80331890;"2019-08-19 01:12";randomparity;196s;https://open.spotify.com/track/0Jf375C86IaijWZfiULUxe
Doug;Moosebutter;"Udder Won";GB5EA1301359;"2019-08-19 01:13";randomparity;119s;https://open.spotify.com/track/1ylQbj6dZQXL5EoBmDoNcC
"Idi Amin Meets Eydie Gorme";"Ogden Edsl";"Mower Of The Ogden Edsl";USOEG9587815;"2019-08-19 01:10";randomparity;83s;https://open.spotify.com/track/1LMtUsRoQyofFDgDwqEPNP
"Daddy's Money";"Ogden Edsl";"Mower Of The Ogden Edsl";USOEG9587801;"2019-08-19 01:11";randomparity;195s;https://open.spotify.com/track/3WIaBgBvjjGeB66TUnsX8E
"F. People";"Ookla The Mok";"Oh Okay LA";ushm20421776;"2019-08-19 01:12";randomparity;183s;https://open.spotify.com/track/05SK55NgIJf7NmYaBE7p4t
"Opening Band";"Paul & Storm";"Opening Band";US4XR0546601;"2019-08-19 01:13";randomparity;217s;https://open.spotify.com/track/2k8rVJWWYzMcKvGLGzRaxb
"2600 - Positive Attitude";"Positive Attitude";Technobabble;uscgh0696225;"2019-08-19 01:13";randomparity;156s;https://open.spotify.com/track/67nGXPyyEoMiXCFbf4lZt0
Co-Dependency;"Power Salad";"Force Doesn't Work On a Crustacean";USA370355889;"2019-08-19 01:10";randomparity;576s;https://open.spotify.com/track/5marRmly1luijJ6pVRCVYn
"My Cat Is Afraid of the Vacuum Cleaner";"Power Salad";"Power Salad 3: Sweat Equity";USA370563710;"2019-08-19 01:13";randomparity;132s;https://open.spotify.com/track/1sf29XDfmQYTL0tH9U8V37
"Dysfunctional Family Reunion";"R. Bruce";"Still Laughin'";ushm20759389;"2019-08-19 01:10";randomparity;84s;https://open.spotify.com/track/3LvCCsEAhMtgb1swEjMXfM
"Hug Me";"R. Stevie Moore";"Nevertheless Optimistic";USCXG1200421;"2019-08-19 01:12";randomparity;74s;https://open.spotify.com/track/4XeYSjzvbcj0IOe1QiV4as
"Does This Make Me Gay?";"Raymond And Scum";"Take It All";ushm21479604;"2019-08-19 01:12";randomparity;184s;https://open.spotify.com/track/2VP58jjlIGQtZGNrXlGEPX
"Pachelbel Rant (Live)";"Rob Paravonian";"Songs From the Second Floor";ushm80988760;"2019-08-19 01:10";randomparity;313s;https://open.spotify.com/track/3NDLRr6VvwEt0z4ozBAKys
"Pachelbel Rant (Live)";"Rob Paravonian";"Songs From the Second Floor";ushm80988760;"2019-08-19 01:12";randomparity;313s;https://open.spotify.com/track/3NDLRr6VvwEt0z4ozBAKys
"Some of My Best Friends Are Straight (Live)";"Romanovsky & Phillips";"Let's Flaunt It! (Live)";ushm81331272;"2019-08-19 01:10";randomparity;190s;https://open.spotify.com/track/2stgbpe6PlyQKktZQR9VgQ
"Because We Can - Andina & Rich";"Sandy Andina";"Tappin' Out A Rhythm. Pickin' Out A Tune.";ushm90547694;"2019-08-19 01:11";randomparity;169s;https://open.spotify.com/track/3ifd89x0FlwQ0tS9KMXtK7
"Bond Themes";"Sean Cullen";Live!;ushm20711820;"2019-08-19 01:12";randomparity;218s;https://open.spotify.com/track/6KdQhf05gcJqXy6uO6OA3r
"Booger on My Beer Mug";"Sneaky Pete";"The Demented Album";ushm91676831;"2019-08-19 01:11";randomparity;103s;https://open.spotify.com/track/6UDfvvnf3GaowJk2NWrkg1
HermAphrodite;"Stephen Lynch";"A Little Bit Special";USA6B0000215;"2019-08-19 01:10";randomparity;169s;https://open.spotify.com/track/1yk9QG4uOwZqJXM4XYA0gU
Halloween;"Stephen Lynch";"The Craig Machine";USA6B0500603;"2019-08-19 01:13";randomparity;166s;https://open.spotify.com/track/0qX8a7BLz0I7XQieYjWfiq
Dumbledore;"Steve Goodie";"Something to Sneeze At";ushm91045849;"2019-08-19 01:13";randomparity;226s;https://open.spotify.com/track/2pqw89xcQ5t4rix5ge9ckJ
"Dead Rappers";"Sudden Death";"Fatal Accident Zone";USA370398993;"2019-08-19 01:12";randomparity;226s;https://open.spotify.com/track/4XSKA1sA8OlH3fVcjCAaWP
"Spam - Sudden Death";"Sudden Death!";Technobabble;uscgh0696236;"2019-08-19 01:13";randomparity;274s;https://open.spotify.com/track/1opTfy9KshB8ab6kjcFy07
"The Vapor Carioca";"The Bobs";"i brow club";USRO29706211;"2019-08-19 01:11";randomparity;214s;https://open.spotify.com/track/5b2WxJX1WRPpVJCNG6drsr
Spot;"The Duncan Guy Band";"The Menstral Album";ushm80765034;"2019-08-19 01:10";randomparity;147s;https://open.spotify.com/track/5ZjQ8oAEr5MwgJpJe8ir7h
"Mutant Cows";"The Dyzmals";"The Dyzmals 1984-1999";ushm80629013;"2019-08-19 01:11";randomparity;162s;https://open.spotify.com/track/1e3YWqNamJBiXs7aDln4vN
"Mr. Ghost Goes to Town";"The Five Jones Boys";"Halloween Classics: Songs That Scared The Bloomers Off Your Great-Grandma";USSM13600149;"2019-08-19 01:11";randomparity;181s;https://open.spotify.com/track/6mthxSxMPXhYfa99jWaP7n
"Lazin' In The Shade";"The Foremen";"The Best Of The Foremen";ushm80686341;"2019-08-19 01:11";randomparity;216s;https://open.spotify.com/track/1VjAFjUKzec9PFObIC5HEz
"Rabbit Valley";"The Four Postmen";"Looking for Grandpa";uscgh0695706;"2019-08-19 01:10";randomparity;201s;https://open.spotify.com/track/3EviJjYY0DkKEGtyE5FuXU
"Four Years of High School Spanish";"The Four Postmen";"Looking for Grandpa";uscgh0695693;"2019-08-19 01:10";randomparity;137s;https://open.spotify.com/track/7aaPpfXcEWVHRaioo3im0T
"The Horrible Movie Song";"The Four Postmen";"Hit Record";uscgh0695737;"2019-08-19 01:12";randomparity;240s;https://open.spotify.com/track/2m8ecgvD2LQw5xU7hnkOsx
"Let Me Make You Smile In Bed";"The Four Postmen";"Hit Record";uscgh0695731;"2019-08-19 01:12";randomparity;139s;https://open.spotify.com/track/0pC4gb6zYW3B0Immjo8uDe
"Army Careers";"The Frantics";"The Frantics Official Bootleg Cd";USTCB0980611;"2019-08-19 01:11";randomparity;195s;https://open.spotify.com/track/3EHbyJrQeEz88eoqwWeouR
"Gridlock Christmas";"The Hollytones";"Gridlock Christmas";usl4q0745868;"2019-08-19 01:11";randomparity;215s;https://open.spotify.com/track/3fbDtaptG0MK3quP4SAsE7
MCI;"The Kinsey Sicks";"Sicks In The City";usl4q0830544;"2019-08-19 01:12";randomparity;215s;https://open.spotify.com/track/3k8zubkqR2JObciz527sqp
"In My Country";"The Lemon Sisters";"In My Country - Single";uscgj1091148;"2019-08-19 01:10";randomparity;110s;https://open.spotify.com/track/5OpPNbyVypkCiQ9P4Pv26D
"One Note Song";"The Music Butchers";"Rob Moitoza's Cavalcade of Stars";uscgh1016847;"2019-08-19 01:10";randomparity;158s;https://open.spotify.com/track/44ID1XAqlB8HFNmY54umTZ
"Happy Whatever You're Having";"The Therapy Sisters";"Codependent Christmas";ushm20383741;"2019-08-19 01:10";randomparity;111s;https://open.spotify.com/track/0gpdkZ6u3ZpZBTpH9zCHRE
"Nobody Home";"The Toyes";"The Toyes";ushm90643913;"2019-08-19 01:10";randomparity;142s;https://open.spotify.com/track/50d65CPk34avgWWw36MwLt
"Sarah Jane";"The Tune Wranglers";"The Tune Wranglers (Doxy Collection)";FR10S1447685;"2019-08-19 01:10";randomparity;162s;https://open.spotify.com/track/39Rv0K1dnIILbmQ855tAcv
"You're a Hamburger";"The Vestibules";"Sketches Songs & Shoes";uscgj1213824;"2019-08-19 01:10";randomparity;121s;https://open.spotify.com/track/6HCsQoBBwTBYafddTiEcXS
"(Everything I Do) I Do It for Ryu";"The Warp Zone";"(Everything I Do) I Do It for Ryu";TCACL1695110;"2019-08-19 01:11";randomparity;177s;https://open.spotify.com/track/7omkI5DyUvGBObTU38cXxt
"There's Another Dumbass On The Mountain";"Those Darn Accordions";Lawnball;US4FU0403103;"2019-08-19 01:11";randomparity;183s;https://open.spotify.com/track/7hM1I5uziIlUbSMgKQODIz
Debbie;"Throwing Toasters";Burnt;ushm20337063;"2019-08-19 01:10";randomparity;392s;https://open.spotify.com/track/3zAfxDTwKANbDnGmK9o00f
