title;artist;album;isrc;addedDate;addedBy;duration;url
"Never Get Naked in Your Shower";"Julian Smith";"Never Get Naked in Your Shower";TCABH1282399;"2015-12-18 00:46";12121164901;97s;https://open.spotify.com/track/7KHENGpEwjwF6SoDWP6IaS
"The Homecoming Queen's Got a Gun";"Julie Brown";"Trapped In The Body Of A White Girl";USWB10701981;"2014-04-04 07:43";12121164901;278s;https://open.spotify.com/track/2scmuBEKCDn4ofQrckKTrh
"'Cause I'm a Blonde";"Julie Brown";"Earth Girls Are Easy";USWB11102003;"2014-11-12 22:01";12121164901;136s;https://open.spotify.com/track/5fyIBPFeSICuALEejPrkhE
"I Want It Now/Oompa-Loompa - From ""Willy Wonka & The Chocolate Factory"" Soundtrack";"Julie Dawn Cole, Oompa Loompa Cast";"Willy Wonka & The Chocolate Factory (Soundtrack)";USMC17126054;"2014-05-03 09:54";12121164901;170s;https://open.spotify.com/track/3HMxQnQDxBTIJTQFQpfi16
"The Curly Shuffle";"Jump 'N' The Saddle Band";"The Curly Shuffle";USAT20402141;"2014-04-08 07:34";12121164901;175s;https://open.spotify.com/track/5Pijq9ImAu5xweS1lxAKwK
"My Wife Thinks You're Dead";"Junior Brown";"Guit With It";USCRB0100917;"2019-07-18 01:37";12121164901;229s;https://open.spotify.com/track/2wKOlbWJXvvnB2QmqprjZG
"I Have a Crush on My Teacher";"Kate Micucci";"E.P. Phone Home";usx9p1009662;"2014-11-10 18:38";12121164901;161s;https://open.spotify.com/track/0gyYVG2sWsvIJ3GwkuufU5
"Song for the Late Night People";"Kate Micucci";"E.P. Phone Home";usx9p1009665;"2014-11-10 18:38";12121164901;137s;https://open.spotify.com/track/1e9cf1EXlI8x3ItrcmTUBi
"Woody Woodpecker Song";"Kay Kyser";"Number One Hits Of The '40s";USA371372637;"2014-05-03 09:25";12121164901;181s;https://open.spotify.com/track/6NuYdxGMQs0tksGmlLc3Np
"Wheel of Fortune";"Kay Starr";"Wheel of Fortune";GBTYZ0812100;"2014-05-03 09:27";12121164901;185s;https://open.spotify.com/track/2oBxum6NA0OqvK8hRDGUdI
"Mick The Master Farter";"Kevin Bloody Wilson";"20 Years Of Kev";aubt20700091;"2014-11-10 17:40";12121164901;287s;https://open.spotify.com/track/6ms8tFYbiE5FJtms2NIawy
"Thank You for Driving Me to Drink";"Kevin Bloody Wilson";"Wrong! Wrong! Wrong!";ushm91390450;"2014-11-10 17:54";12121164901;200s;https://open.spotify.com/track/0NiYU5NK8KYWdkVzohS2d8
"Detachable Penis";"King Missile";"Rhino Hi-Five: King Missile";USAT20003308;"2014-07-31 20:08";12121164901;203s;https://open.spotify.com/track/3vA3kv3NDvOpFQA3bFkGbw
"Zombie Apocalypse";"Kirby Krackle";"Kirby Krackle";uscgh0919228;"2014-11-10 17:32";12121164901;322s;https://open.spotify.com/track/2l62iwDrluKuu8uYMyG8SV
"Internet Friends";"Knife Party";"100% No Modern Talking";GBAHT1200462;"2016-02-15 22:32";12121164901;301s;https://open.spotify.com/track/5qFL2uwfnGU8FccwLMgPNQ
"The Taker";"Kris Kristofferson";"The Best Of Shel Silverstein";USSM17100574;"2018-09-13 02:14";12121164901;194s;https://open.spotify.com/track/67YLnjr1HNBR6eyxR2bK3h
"Junk Food Junkie";"Larry Groce";"Larry Groce - His Very Best";USDEI8103481;"2014-04-04 07:42";12121164901;181s;https://open.spotify.com/track/7FKjZakxaOMPLORVkfrAx7
"Dead Skunk";"Larry Groce";"Witch Doctor";USDEI0002299;"2014-04-04 11:11";12121164901;189s;https://open.spotify.com/track/5jbAxdmhCRtsOGLeMysyXE
"Mr. Custer - Re-Recording";"Larry Verne";"#1 Hits Of The 60's";USDEI7602742;"2014-04-04 07:00";12121164901;189s;https://open.spotify.com/track/5s3lvjoko5otcZrprzcWeD
"Mr. Custer - Re-Recording";"Larry Verne";"36 Funny Wacky Favorites";USDEI6004493;"2014-05-03 09:51";12121164901;185s;https://open.spotify.com/track/0FHv8IbQExlbWZw2lgRDeU
"Mister Saki";"Larry Verne";"100 Funny Favorites";USDEI6106103;"2014-05-03 10:16";12121164901;196s;https://open.spotify.com/track/6JH4gUnqoGaElHZBJ3CUcv
"I Like Musicals";"Laura Benanti";"I Like Musicals";uscgh1618208;"2018-07-22 23:07";12121164901;202s;https://open.spotify.com/track/0rPgvR8SB7yyjXFuivWlzd
"Ya Ya - Re-Recording";"Lee Dorsey";"36 Funny Wacky Favorites";USDEI6104208;"2014-05-03 10:08";12121164901;143s;https://open.spotify.com/track/4TQYAveeUvpTE1kGqM7Wuy
"Reuben Haskin's Ride On a Cyclone Auto";"Len & Harry Spencer";"First Century Dementia";USY252029562;"2020-11-27 21:32";12121164901;139s;https://open.spotify.com/track/4vebwisk4q8n5IsSC0xMdu
"Highly Illogical";"Leonard Nimoy";"Spaced Out - The Best of Leonard Nimoy & William Shatner";USMC10346135;"2014-04-04 06:58";12121164901;140s;https://open.spotify.com/track/51NBHPGPmHCi5vIfZoBQGz
"The Ballad Of Bilbo Baggins";"Leonard Nimoy";"Spaced Out - The Best of Leonard Nimoy & William Shatner";USMC10346151;"2014-04-04 07:44";12121164901;141s;https://open.spotify.com/track/0S4lFAWeyOvp3tlvgTqQol
"If I Had A Hammer (The Hammer Song)";"Leonard Nimoy";"Spaced Out - The Best of Leonard Nimoy & William Shatner";USMC10346136;"2016-07-24 09:43";12121164901;128s;https://open.spotify.com/track/35RYgqQ0uNQ18hMf71DeIg
"Where Is Love";"Leonard Nimoy";"Spaced Out - The Best of Leonard Nimoy & William Shatner";USMC10346138;"2016-07-24 09:43";12121164901;121s;https://open.spotify.com/track/4Way9KOmTwISE1CJP1JjeT
"Music To Watch Space Girls By";"Leonard Nimoy";"Spaced Out - The Best of Leonard Nimoy & William Shatner";USMC10001423;"2016-07-24 09:43";12121164901;141s;https://open.spotify.com/track/2ImOwacWnzyxtxyyLNacTf
"Ruby Don't Take Your Love To Town";"Leonard Nimoy";"Spaced Out - The Best of Leonard Nimoy & William Shatner";USMC10346140;"2016-07-24 09:43";12121164901;167s;https://open.spotify.com/track/6hVtnUMr71nBcI91XoxbrP
"A Visit To A Sad Planet";"Leonard Nimoy";"Spaced Out - The Best of Leonard Nimoy & William Shatner";USMC10346142;"2016-07-24 09:43";12121164901;182s;https://open.spotify.com/track/3luIkOdpbBh3HAKcgKXJSm
