title;artist;album;isrc;addedDate;addedBy;duration;url
"Tequila Sunrise - 2013 Remaster";Eagles;"Their Greatest Hits 1971-1975 (2013 Remaster)";USEE11300306;"2021-01-03 02:31";randomparity;173s;https://open.spotify.com/track/5M9sPsOUhrBlw82xIzrTj4
"Nights Are Forever Without You";"England Dan & John Ford Coley";"Nights Are Forever";USAT20201191;"2021-01-02 23:37";randomparity;171s;https://open.spotify.com/track/4XJhR31yvvrJl99caa0Xpj
"I'd Really Love to See You Tonight";"England Dan & John Ford Coley";"Nights Are Forever";USAT20181306;"2021-01-03 02:45";randomparity;159s;https://open.spotify.com/track/2r008pcfVYc0zgQvSRqUJE
"All By Myself";"Eric Carmen";"Eric Carmen";USAR10400530;"2021-01-03 04:14";randomparity;430s;https://open.spotify.com/track/0AQqrtK1pULuwZUXhwaaDz
"Just Remember I Love You";Firefall;"'firefall Reunion Live'";uscgh0971443;"2021-01-02 23:23";randomparity;216s;https://open.spotify.com/track/4mxaH9MLP8VN8vXX46y3Jd
"Just Remember I Love You";Firefall;"Luna Sea";USAT20105754;"2021-01-03 02:52";randomparity;197s;https://open.spotify.com/track/2u8DFrCzgVuviSHB6RCEIO
"Rhiannon - 2017 Remaster";"Fleetwood Mac";"Fleetwood Mac (2017 Remaster)";USRH11700074;"2021-01-03 04:27";randomparity;250s;https://open.spotify.com/track/3kZUnG3jVpgwh3TQFdTv18
Gypsy;"Fleetwood Mac";"Greatest Hits";USWB19900203;"2021-01-03 04:28";randomparity;265s;https://open.spotify.com/track/19Ym5Sg0YyOCa6ao21bdoG
"Dreams - 2004 Remaster";"Fleetwood Mac";"Rumours (Super Deluxe)";USWB11301111;"2021-01-03 04:28";randomparity;258s;https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
Everywhere;"Fleetwood Mac";"Greatest Hits";USWB19900202;"2021-01-03 04:28";randomparity;223s;https://open.spotify.com/track/1prZ0pr6XoRCxcrC3MCL0M
"Give Me the Night";"George Benson";"Give Me the Night";USWB10000902;"2021-01-03 02:45";randomparity;301s;https://open.spotify.com/track/5gaUkg5JNk8c4mr2jnpX8H
"Give Me the Night";"George Benson";"The George Benson Collection";USWB10902424;"2021-01-04 19:50";randomparity;223s;https://open.spotify.com/track/62GYoGszQfROZswLee6W3O
"Baker Street";"Gerry Rafferty";"City to City";GBAYE7800619;"2021-01-03 04:34";randomparity;366s;https://open.spotify.com/track/5gOd6zDC8vhlYjqbQdJVWP
"Right Down the Line";"Gerry Rafferty";"City to City";GBAYE7800544;"2021-01-03 04:34";randomparity;268s;https://open.spotify.com/track/2Xb6wJYGi0QXwURw5WWvI5
"Right Down the Line";"Gerry Rafferty";"City to City";GBAYE7800544;"2021-01-04 18:42";randomparity;268s;https://open.spotify.com/track/2Xb6wJYGi0QXwURw5WWvI5
"I Just Wanna Stop";"Gino Vannelli";"Brother To Brother";USAM19500614;"2021-01-03 02:31";randomparity;218s;https://open.spotify.com/track/5ljGmNLjvQZm2hw8cDJXNJ
"Just the Two of Us (feat. Bill Withers)";"Grover Washington, Jr., Bill Withers";Anthology;USEE19901162;"2021-01-19 03:28";randomparity;237s;https://open.spotify.com/track/1ko2lVN0vKGUl9zrU0qSlT
"Route 101";"Herb Alpert";Fandango;QM4221500463;"2021-01-07 22:05";randomparity;202s;https://open.spotify.com/track/0v6LhMOPClXKdV3KB72iJG
"Rock the Boat";"Hues Corporation";"Freedom for the Stallion (Expanded Edition)";USRC17308512;"2021-01-03 02:55";randomparity;203s;https://open.spotify.com/track/7fu3Tv5rcoGD1PZV7s57WW
"Somebody's Baby";"Jackson Browne";"The Next Voice You Hear - The Best Of Jackson Browne";USEE18200001;"2021-01-03 04:33";randomparity;263s;https://open.spotify.com/track/4SlCb8n5Jw52astU7GWPyV
"Yah Mo B There";"James Ingram, Michael McDonald";"It's Your Night";USQW10200017;"2021-01-03 02:49";randomparity;279s;https://open.spotify.com/track/5edioRF5SIeNzZafgd1Py1
"Thunder Island";"Jay Ferguson";"Thunder Island";USEE10250542;"2021-01-03 02:47";randomparity;241s;https://open.spotify.com/track/3FkQN4NyCFlfn7fWzBkWCj
"I'm Alright (Theme from ""Caddyshack"")";"Kenny Loggins";"The Essential Kenny Loggins";USSM10211762;"2021-01-03 02:30";randomparity;227s;https://open.spotify.com/track/1UveyJanND5TdsO87bI32l
"I Believe In Love";"Kenny Loggins";"Celebrate Me Home";USSM19914421;"2021-01-08 02:06";randomparity;210s;https://open.spotify.com/track/7B4gn4dPeLtB3x63exF7F4
"You Make Me Feel Like Dancing - Remastered";"Leo Sayer";"Endless Flight";USWB10202831;"2021-01-27 04:03";randomparity;219s;https://open.spotify.com/track/6gTrbqZnyljwXdYQTyBkSx
"You're No Good";"Linda Ronstadt";"Heart Like A Wheel";USCA28500304;"2021-01-18 19:37";randomparity;224s;https://open.spotify.com/track/23DZLSxCK6kM8FF2RlzKDl
Trouble;"Lindsey Buckingham";"Law and Order";USWB10000697;"2021-01-03 04:24";randomparity;237s;https://open.spotify.com/track/04ijIUVdT4Qy1SBWFUPROY
"Cool Change";"Little River Band";"Greatest Hits";USCA28400084;"2021-01-03 04:17";randomparity;306s;https://open.spotify.com/track/4TFo8kO1KlcgondsVKPuks
"Cool Changes";"Little River Band";Rearranged;USZBY0800301;"2021-01-04 18:39";randomparity;449s;https://open.spotify.com/track/3FeT13jgWHqwsAKlCeO0FW
"Sailin' the Wind";"Loggins & Messina";"Full Sail";USSM19914415;"2021-01-03 02:38";randomparity;369s;https://open.spotify.com/track/6wHg4U1mgtFwxnoHJDrrnW
"Danny's Song";"Loggins & Messina";"The Best: Loggins & Messina Sittin' In Again";USSM17100303;"2021-01-03 02:38";randomparity;255s;https://open.spotify.com/track/0ju1jP0cSPJ8tmojYBEI89
Vahevala;"Loggins & Messina";"Sittin' In";USSM19914394;"2021-01-03 02:38";randomparity;286s;https://open.spotify.com/track/6FjrWD7UNxu9iexxmAytwj
"Brandy (You're a Fine Girl)";"Looking Glass";"Looking Glass";USSM10903222;"2021-01-03 02:49";randomparity;187s;https://open.spotify.com/track/2BY7ALEWdloFHgQZG6VMLA
"Midnight at the Oasis";"Maria Muldaur";"Maria Muldaur";USRE10100264;"2021-01-03 02:32";randomparity;230s;https://open.spotify.com/track/5VBcEJ4mtXTmVEJtc7hx2g
"Break My Stride";"Matthew Wilder";"I Don't Speak The Language";USSM18300576;"2021-01-03 02:54";randomparity;184s;https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
Wildfire;"Michael Martin Murphey";"The Best Of Michael Martin Murphey";USCN18400040;"2021-01-19 03:21";randomparity;308s;https://open.spotify.com/track/737c89v3Zdit8EUyNJ7KeS
"I Keep Forgettin' (Every Time You're Near)";"Michael McDonald";"If That's What It Takes";USWB19903128;"2021-01-03 02:36";randomparity;222s;https://open.spotify.com/track/5GvWrvLIqoHroq7YvO260M
"Lotta Love";"Nicolette Larson";Nicolette;USWB10100567;"2021-01-04 19:39";randomparity;192s;https://open.spotify.com/track/2bS2tETCzUmjALnXEvhOGo
Magic;"Olivia Newton-John";Xanadu;USWWW0202213;"2021-01-03 02:29";randomparity;272s;https://open.spotify.com/track/56BSwBKWHYldQOgYLHiehs
"Dance with Me";Orleans;"Dance With Me: The Best Of Orleans";USEE10250642;"2021-01-03 02:50";randomparity;180s;https://open.spotify.com/track/2GORop0i2cyx8C0A3JzL44
"Still the One";Orleans;"Waking & Dreaming";USEE10250656;"2021-01-03 02:55";randomparity;234s;https://open.spotify.com/track/2dtK02TSAuTvVYU2wGAVG0
