title,artist,album,isrc,platform,duration,addedDate,addedBy,url
Cringe,"Matt Maeson","Bank On The Funeral",USAT21603312,spotify,216s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/12rhvKDK2FfHTZZ1sSAHDG
"Critical Mistakes",888,"Critical Mistakes",USUM71606180,spotify,200s,"2022-04-21 20:46",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0L0Fq1BEatmTzQ96R5GuVX
Crystalised,"The xx",xx,GBBKS0900025,spotify,202s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1nmCmB3qdXrzxFhvLJuhuB
"Dance, Dance","Fall Out Boy","From Under The Cork Tree",USDJ20500174,spotify,180s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0a7BloCiNzLDD9qSQHh5m7
"Dancing Feet (feat. DNCE)","Kygo, DNCE","Dancing Feet (feat. DNCE)",USRC12200139,spotify,215s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
"Dangerous (feat. Joywave)","Big Data, Joywave",2.0,TCABQ1375535,spotify,280s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3y8AEUef1AVfr0npU5UOa9
"Dani California","Red Hot Chili Peppers","Stadium Arcadium",USWB10600700,spotify,282s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/10Nmj3JCNoMeBQ87uw5j8k
"Deep End",Dayglow,"Deep End",GBKPL2203219,spotify,218s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3NE8bmyye8sEOQtWknh8Vi
Deleter,Grouplove,Deleter,USAT21906910,spotify,234s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1r8e3HtZOP65v2uiWd17dF
"Designated Driver","Taylor Janzen","Designated Driver",USYAH2100586,spotify,239s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2sAUIlFLzyDMMI17TtohBf
"Diane Young","Vampire Weekend","Modern Vampires of the City",GBBKS1300008,spotify,160s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/104pmtTQOlmW8Zt2BipGKH
"Different Colors","WALK THE MOON","TALKING IS HARD",USRC11402581,spotify,222s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3RRRDZig4RNJhVGfwwOOFZ
Dig,Incubus,"Light Grenades",USSM10604651,spotify,257s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5wvYib82q05wiNjLElD8GJ
"Dirty Paws","Of Monsters and Men","My Head Is An Animal",USUM71202066,spotify,278s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5g7rJvWYVrloJZwKiShqlS
"Dissolve Me",alt-J,"An Awesome Wave",GBZUZ1200070,spotify,239s,"2021-09-24 01:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2Dv7PTwSoB17f3VFDIKw8m
Dissolve,Absofacto,"Thousand Peaces",USAT21704522,spotify,225s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR
"Distorted Light Beam",Bastille,"Distorted Light Beam",GBUM72103268,spotify,177s,"2021-06-24 00:47",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7bREivF1RTm0vOYB2wi7nE
"Do I Wanna Know?","Arctic Monkeys",AM,GBCEL1300362,spotify,272s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst
"Do Your Worst","The Happy Fits","Do Your Worst",GBKPL2201998,spotify,210s,"2022-06-29 23:37",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/72Z1HGiw1TRLlexWQm4OVe
"Dog Days Are Over","Florence + The Machine","Lungs (Deluxe Edition)",GBUM70900209,spotify,252s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1YLJVmuzeM2YSUkCCaTNUB
"Don't Let The Light Go Out","Panic! At The Disco","Don’t Let The Light Go Out",USAT22200849,spotify,230s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2lCyQnftM6ptqC3vk7qeao
"Don't Stop (Color on the Walls)","Foster The People",Torches,USSM11101701,spotify,175s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4HRa9ZWcmZ8JD7UySPu0wT
