title;artist;album;isrc;addedDate;addedBy;duration;url
"Dangerous (feat. Joywave)";"Big Data, Joywave";2.0;TCABQ1375535;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;280s;https://open.spotify.com/track/3y8AEUef1AVfr0npU5UOa9
"everything i wanted";"Billie Eilish";"everything i wanted";USUM71922577;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;245s;https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
NDA;"Billie Eilish";NDA;USUM72105935;"2021-07-15 01:58";sj1bdpnkh9q3knr3ss718da1d;196s;https://open.spotify.com/track/6uqyE384HDSsuwpoF4mjrL
River;"Bishop Briggs";"Church Of Scars";TCACL1648391;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;216s;https://open.spotify.com/track/3mRLHiSHYtC8Hk7bzZdUs1
Colors;"Black Pumas";"Black Pumas";USATO1900023;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;247s;https://open.spotify.com/track/6vaSStNN5NX4nJ4QbRY3S0
"I Wanna Get Better";Bleachers;"Strange Desire";USRC11400200;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;205s;https://open.spotify.com/track/1BwhFXqoIsePt21WyWIttb
Rollercoaster;Bleachers;"Strange Desire";USRC11400984;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;189s;https://open.spotify.com/track/5L95vS64rG1YMIFm1hLjyZ
"First Date";blink-182;"Take Off Your Pants And Jacket";USMC10110874;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;172s;https://open.spotify.com/track/1fJFuvU2ldmeAm5nFIHcPP
"I Miss You";blink-182;blink-182;USMC10346123;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;227s;https://open.spotify.com/track/1oTo3ijRbaDAtrjJrGAPSw
"Feeling This";blink-182;blink-182;USMC10346225;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;173s;https://open.spotify.com/track/26AYR77170U49cMcXB7aRV
"I Won't Be Home For Christmas";blink-182;"I Won't Be Home For Christmas";USCR29757153;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;198s;https://open.spotify.com/track/41olw7iIGVyds8dnSR9pb0
"What's My Age Again?";blink-182;"Enema Of The State";USMC19959007;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;148s;https://open.spotify.com/track/4LJhJ6DQS7NwE7UKtvcM52
Banquet;"Bloc Party";"Silent Alarm";GBDNH0400385;"2021-09-08 23:40";sj1bdpnkh9q3knr3ss718da1d;197s;https://open.spotify.com/track/2YxXuCdbUpil3P7tRjhW1t
Traps;"Bloc Party";Traps;GB5KW2104123;"2021-12-06 23:36";sj1bdpnkh9q3knr3ss718da1d;175s;https://open.spotify.com/track/2ZvxyrNMYKMTazLQI2v9BX
"One Month Off";"Bloc Party";Intimacy;GBDNH0800571;"2021-12-21 22:54";sj1bdpnkh9q3knr3ss718da1d;216s;https://open.spotify.com/track/40tPgr6VzfwSMwa32pvEwy
Vintage;"Blu DeTiger";Vintage;QMFME2031046;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;155s;https://open.spotify.com/track/3k7Ih6fxF30qtvsgWPopvn
"Two Moons";BoyWithUke;"Fever Dreams";TCAFM2173435;"2021-11-09 02:02";sj1bdpnkh9q3knr3ss718da1d;225s;https://open.spotify.com/track/5GxUKIEkMXXZo1Tif0IzfC
