title;artist;album;isrc;addedDate;addedBy;duration;url
Outside;"Foo Fighters";"Sonic Highways";USRW31400006;"2015-08-12 23:28";friend3001;315s;https://open.spotify.com/track/5BfbdJLRp9gUyyxeGJUECL
Run;"Foo Fighters";Run;USRW31700013;"2017-06-26 02:51";friend3001;323s;https://open.spotify.com/track/28KYBZXnvRk560ty8mdVIQ
"The Sky Is A Neighborhood";"Foo Fighters";"Concrete and Gold";USRW31700018;"2017-09-28 02:28";friend3001;245s;https://open.spotify.com/track/3kdMzXOcrDIdSWLdONHNK5
"Pumped up Kicks";"Foster The People";Torches;USSM11002931;"2012-03-27 19:52";;240s;https://open.spotify.com/track/1G5RlnmO3GzNdKCDNSgT5W
"Don't Stop (Color on the Walls)";"Foster The People";Torches;USSM11101701;"2012-05-03 00:44";;175s;https://open.spotify.com/track/5n8xIHjr1RHCEHalc37tb8
"Coming of Age";"Foster The People";Supermodel;USSM11305799;"2014-04-01 19:01";friend3001;280s;https://open.spotify.com/track/1yzbqrSF0vuaO7nuKYSd6f
"Best Friend";"Foster The People";Supermodel;USSM11305808;"2014-06-11 16:42";friend3001;268s;https://open.spotify.com/track/7tvOve5IkjYenvqScZ75iQ
"Doing It for the Money";"Foster The People";III;USSM11703985;"2017-06-26 02:53";friend3001;228s;https://open.spotify.com/track/1C50sKrPuWp8mkSC0GA6DW
"Sit Next to Me";"Foster The People";"Sacred Hearts Club";USSM11704909;"2017-11-26 21:01";friend3001;243s;https://open.spotify.com/track/4BdGO1CaObRD4La9l5Zanz
"Worst Nites";"Foster The People";"Worst Nites";USSM11807750;"2019-02-05 16:33";friend3001;212s;https://open.spotify.com/track/7lVoniii4QwhNjCeHij2xZ
Imagination;"Foster The People";Imagination;USSM11903686;"2019-06-23 01:40";friend3001;256s;https://open.spotify.com/track/6x14bDa42YQnkG3rQygVzx
"Deep End";Fousheé;"Deep End";USRC12002568;"2021-01-12 12:16";friend3001;141s;https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
"Take Me Out";"Franz Ferdinand";"Franz Ferdinand";GBCEL0300192;"2012-05-03 16:35";;239s;https://open.spotify.com/track/7kw6yVmdZGuRcWGi4adXYT
"No You Girls";"Franz Ferdinand";Tonight;GBCEL0800926;"2012-05-26 18:22";;224s;https://open.spotify.com/track/4fRtBpIwxyKrHU1wWD1BkU
"Stupid Girl";Garbage;"Absolute Garbage";USGF19500408;"2013-01-12 17:38";friend3001;258s;https://open.spotify.com/track/2M378kbcpgBVw48qtur587
Empty;Garbage;Empty;QMRSZ1600102;"2016-05-08 20:04";friend3001;235s;https://open.spotify.com/track/1VNZ0DByN51KjodseVarTl
Budapest;"George Ezra";"Wanted on Voyage";GBARL1400477;"2015-02-05 15:16";friend3001;201s;https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
"Life Itself";"Glass Animals";"How To Be A Human Being";GB2DY1600018;"2016-08-31 16:16";friend3001;281s;https://open.spotify.com/track/3HVRywtkhSjhpmkaeaYTgh
"Your Love (Déjà Vu)";"Glass Animals";"Your Love (Déjà Vu)";GBUM71905661;"2020-03-13 13:44";friend3001;234s;https://open.spotify.com/track/5DYD4zlGiFlkpLaf2Bk8Vl
"Heat Waves";"Glass Animals";"Dreamland (+ Bonus Levels)";GBUM72000433;"2020-11-16 12:12";friend3001;239s;https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
"Here In Your Bedroom";Goldfinger;"The Best Of Goldfinger";USMJ30200011;"2012-05-29 21:43";;192s;https://open.spotify.com/track/0e0qRLVKIW1JNkLZg14bQF
"Feel Good Inc.";Gorillaz;"Demon Days";GBAYE0500172;"2012-05-03 00:43";;223s;https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT
"Humility (feat. George Benson)";"Gorillaz, George Benson";"The Now Now";GBAYE1800407;"2018-07-27 20:51";friend3001;198s;https://open.spotify.com/track/3NeiYiBn3rQBgurfVk92Zm
"The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)";"Gorillaz, Rag'n'Bone Man, Zebra Katz, RAY BLK";"The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)";GBAYE1700919;"2017-04-26 00:13";friend3001;235s;https://open.spotify.com/track/1C4buRmG7HOUKjNzv2edtX
"21 Guns";"Green Day";"21 Guns (Int'l DMD)";USRE10900679;;;317s;https://open.spotify.com/track/0hkkEdFZunr8eWLNQYlaD0
"Basket Case";"Green Day";Dookie;USRE19900151;;;182s;https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s
"Good Riddance (Time of Your Life)";"Green Day";Nimrod;USRE19700545;;;153s;https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ
"When I Come Around";"Green Day";Dookie;USRE19900154;"2010-06-05 17:26";;178s;https://open.spotify.com/track/1Dr1fXbc2IxaK1Mu8P8Khz
Longview;"Green Day";Dookie;USRE19900148;"2013-03-13 17:41";friend3001;233s;https://open.spotify.com/track/3LRJbFT9rKoKv4aW7PuBJC
"Bang Bang";"Green Day";"Bang Bang";USRE11600427;"2016-08-31 16:15";friend3001;205s;https://open.spotify.com/track/0Z2wvNROelCrTqUM28RLYt
"Still Breathing";"Green Day";"Revolution Radio";USRE11600432;"2016-11-17 01:14";friend3001;225s;https://open.spotify.com/track/19YmvsVCetCBeVj6O2mljR
"Revolution Radio";"Green Day";"Revolution Radio";USRE11600428;"2017-07-14 23:14";friend3001;181s;https://open.spotify.com/track/3oqYMRKQcwyNmFn1VD2ukD
"Brain Stew";"Green Day";Insomniac;USRE19500211;"2018-06-06 16:51";friend3001;193s;https://open.spotify.com/track/1nLnpLXvl68RZCSjfkyiaa
"Father of All...";"Green Day";"Father of All...";USRE11900336;"2019-10-15 15:32";friend3001;151s;https://open.spotify.com/track/4r59yc67nric1MZQ2igkhx
"Oh Yeah!";"Green Day";"Oh Yeah!";USRE11900383;"2020-01-31 12:37";friend3001;171s;https://open.spotify.com/track/3QiNQFiueqnIc6rOPLZB3f
"Highway Tune";"Greta Van Fleet";"From The Fires";USUM71702892;"2018-01-19 22:01";friend3001;181s;https://open.spotify.com/track/27wbXcZKmqNV85Iz0SIJpI
"Safari Song";"Greta Van Fleet";"From The Fires";USUM71703679;"2018-03-25 18:45";friend3001;235s;https://open.spotify.com/track/2NaIiXtlLQVf7eUkEWXdal
"You're The One";"Greta Van Fleet";"Anthem Of The Peaceful Army";USUM71811327;"2018-12-19 19:00";friend3001;267s;https://open.spotify.com/track/0iYBNrznkCwhN3xCmNVJpo
"Tongue Tied";Grouplove;"Never Trust a Happy Song";USAT21101334;"2012-05-03 00:36";;218s;https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
Colours;Grouplove;Grouplove;USAT21003217;"2012-05-26 18:23";;254s;https://open.spotify.com/track/37McwOy3miqBP2NyXMmT5w
"Ways to Go";Grouplove;"Ways to Go";USAT21301328;"2014-02-12 18:54";friend3001;216s;https://open.spotify.com/track/60AAKob274gdUtNH7UVLex
"Welcome To Your Life";Grouplove;"Welcome To Your Life";USAT21601447;"2016-08-11 21:09";friend3001;229s;https://open.spotify.com/track/6uF5q1IM4nXjh4Hw3pY4Cw
Deleter;Grouplove;Deleter;USAT21906910;"2020-01-31 12:34";friend3001;234s;https://open.spotify.com/track/1r8e3HtZOP65v2uiWd17dF
"Welcome To The Jungle";"Guns N' Roses";"Greatest Hits (EU Version)";USGF18714801;"2010-01-19 16:42";friend3001;272s;https://open.spotify.com/track/1dM25yro2mjIAO5D1SvFDr
"Paradise City";"Guns N' Roses";"Greatest Hits (EU Version)";USGF18714806;;;406s;https://open.spotify.com/track/2bHQrsgmBzX5WF7thpMZrV
"You Could Be Mine";"Guns N' Roses";"Greatest Hits (EU Version)";USGF19142012;;;344s;https://open.spotify.com/track/6c5mum8DivLl1fcZO6hksF
"Don't Cry (Original)";"Guns N' Roses";"Greatest Hits (EU Version)";USGF19141504;;;284s;https://open.spotify.com/track/6nNyqvLDSgd52Kw3Orv7At
"November Rain";"Guns N' Roses";"Use Your Illusion I";USGF19141510;;;538s;https://open.spotify.com/track/53968oKecrFxkErocab2Al
"New Americana";Halsey;"New Americana";USUM71507637;"2015-07-20 15:08";friend3001;184s;https://open.spotify.com/track/2QEAkoaLiFWaCjNa40M7sg
"My Name Is Human";"Highly Suspect";"The Boy Who Died Wolf";QMCE31600719;"2017-01-24 15:14";friend3001;259s;https://open.spotify.com/track/6lYkFYPKdyOSSZ5xHCJbYg
"Typical Story";"Hobo Johnson";"Typical Story";USRE11900290;"2019-08-24 19:25";friend3001;191s;https://open.spotify.com/track/3CTBO7cZM8tM3jIZmAWiFr
"Doll Parts";Hole;"Live Through This";USGF19963106;;;211s;https://open.spotify.com/track/2s5XeMTwRCvRpGHSDeTTyO
Malibu;Hole;"Celebrity Skin";USGF19816406;;;230s;https://open.spotify.com/track/1FLxW6LI6PZK8InYyYFULw
"Celebrity Skin";Hole;"Celebrity Skin";USGF19816401;;;162s;https://open.spotify.com/track/2VTQAjZr7FPoEJD2sNoH3o
"Pacific Coast Highway";Hole;"Nobody's Daughter";USUM71007982;"2010-05-14 18:01";;314s;https://open.spotify.com/track/19PSIrZuDJ7a454Ph9rVrL
Sedona;Houndmouth;"Little Neon Limelight";GBCVZ1403597;"2015-06-15 23:05";friend3001;240s;https://open.spotify.com/track/50fCm9Wuerl1Ram0FUDEaL
"Jump Around";"House Of Pain";"House Of Pain (US Release)";USTB10300119;"2010-06-12 21:03";;215s;https://open.spotify.com/track/2oTDOIAdsxPTE7yAp4YOcv
"Take Me To Church";Hozier;"Take Me To Church";IEACJ1300031;"2014-08-08 16:09";friend3001;242s;https://open.spotify.com/track/6UvZ1XimCap0SJyErd8zmW
Stars;Hum;"You'd Prefer An Astronaut";USRC19401473;"2017-08-07 01:39";friend3001;309s;https://open.spotify.com/track/6lQE6LF3MU63Z6VyhPxaV3
"Good Things Fall Apart (with Jon Bellion)";"ILLENIUM, Jon Bellion";"Good Things Fall Apart (with Jon Bellion)";USUG11901088;"2019-06-23 22:23";friend3001;217s;https://open.spotify.com/track/6pooRNiLyYpxZeIA5kJ5EX
"It's Time";"Imagine Dragons";"Continued Silence EP";USUM71200987;"2012-05-28 18:05";;238s;https://open.spotify.com/track/034tFGRsa8zNOV0Ph2WT9G
Radioactive;"Imagine Dragons";"Hear Me EP";USUM71201074;"2013-03-13 17:44";friend3001;188s;https://open.spotify.com/track/0Yo8GhK9HEaeIZetPARrW9
Demons;"Imagine Dragons";"Night Visions (Deluxe)";USUM71201071;"2013-06-12 17:57";friend3001;175s;https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e
Amsterdam;"Imagine Dragons";"Night Visions (Deluxe)";USUM71208568;"2013-12-02 19:33";friend3001;241s;https://open.spotify.com/track/6nYD1UPZzBfnA9aL5TrWTc
"I Bet My Life";"Imagine Dragons";"I Bet My Life";USUM71415785;"2015-02-17 17:36";friend3001;193s;https://open.spotify.com/track/7q2f7lhHTv7j7EFG0vplwA
Shots;"Imagine Dragons";"Smoke + Mirrors";USUM71417944;"2015-03-21 20:18";friend3001;233s;https://open.spotify.com/track/1nUHRt4itODSIIQS7KL6Hv
Believer;"Imagine Dragons";Believer;USUM71700626;"2017-03-17 00:23";friend3001;204s;https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
